category_x,category_url_x,article_name_x,article_url_x,parent_category_x,idioma_x,article_name_es,category_y,category_url_y,article_name_y,article_url_y,parent_category_y,idioma_y,num_palabras
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Bolvir,https://ca.wikipedia.org/wiki/Bolvir,,es,Bolvir,Bolvir,https://ca.wikipedia.org/wiki/Categoria:Bolvir,Bolvir,https://ca.wikipedia.org/wiki/Bolvir,,ca,1099
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Signario de Bolvir,https://ca.wikipedia.org/wiki/Signario_de_Bolvir,,es,Signario de Bolvir,Bolvir,https://ca.wikipedia.org/wiki/Categoria:Bolvir,Signari de Bolvir,https://ca.wikipedia.org/wiki/Signari_de_Bolvir,,ca,7
Bolvir,https://es.wikipedia.org/wiki/Categor%C3%ADa:Bolvir,Talltorta,https://ca.wikipedia.org/wiki/Talltorta,,es,Talltorta,Geografia de Bolvir,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Bolvir,Talltorta,https://ca.wikipedia.org/wiki/Talltorta,Bolvir,ca,393
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Casa del Común de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BAn_de_Das,,es,Casa del Común de Das,Pàgina a l'atzar,https://ca.wikipedia.org/wiki/Especial:RandomInCategory/Das,Casa del Comú de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BA_de_Das,Das,ca,11
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Casa del Común de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BAn_de_Das,,es,Casa del Común de Das,Edificis de Das,https://ca.wikipedia.org/wiki/Categoria:Edificis_de_Das,Casa del Comú de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BA_de_Das,Das,ca,11
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Casa del Común de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BAn_de_Das,,es,Casa del Común de Das,Patrimoni monumental de Das,https://ca.wikipedia.org/wiki/Categoria:Patrimoni_monumental_de_Das,Casa del Comú de Das,https://ca.wikipedia.org/wiki/Casa_del_Com%C3%BA_de_Das,Das,ca,11
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Das,https://ca.wikipedia.org/wiki/Das,,es,Das,Das,https://ca.wikipedia.org/wiki/Categoria:Das,Das,https://ca.wikipedia.org/wiki/Das,,ca,880
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Mosoll,https://ca.wikipedia.org/wiki/Mosoll,,es,Mosul,Geografia de Das,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Das,Mosoll,https://ca.wikipedia.org/wiki/Mosoll,Das,ca,20
Das,https://es.wikipedia.org/wiki/Categor%C3%ADa:Das,Sanavastre,https://ca.wikipedia.org/wiki/Sanavastre,,es,Sanavastro,Geografia de Das,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Das,Sanavastre,https://ca.wikipedia.org/wiki/Sanavastre,Das,ca,48
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Escadarcs,https://ca.wikipedia.org/wiki/Escadarcs,,es,Escadarcs,Pàgina a l'atzar,https://ca.wikipedia.org/wiki/Especial:RandomInCategory/Geografia_de_Fontanals_de_Cerdanya,Escadarcs,https://ca.wikipedia.org/wiki/Escadarcs,Geografia de Fontanals de Cerdanya,ca,105
Fontanáls de Cerdanya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Fontan%C3%A1ls_de_Cerdanya,Escadarcs,https://ca.wikipedia.org/wiki/Escadarcs,,es,Escadarcs,Entitats de població de Fontanals de Cerdanya,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Fontanals_de_Cerdanya,Escadarcs,https://ca.wikipedia.org/wiki/Escadarcs,Geografia de Fontanals de Cerdanya,ca,105
